id;start;size;note;text_id;annotation_type_id;created_by
1;77364;89287;client-driven back-end;1;1;system
2;80999;29095;Republic of Korea payment circuit;2;1;system
3;70462;90352;Pa'anga Baby Developer;3;1;system
4;94119;44426;Chicken;4;2;system
5;8119;12789;solid state bricks-and-clicks;5;2;system
6;60962;75293;Borders;6;2;system
7;95573;32266;Sausages;7;2;system
8;91346;98642;Colorado Awesome Steel Ball Ergonomic;8;1;system
9;76305;38624;open-source;9;2;system
10;86742;6724;invoice synthesize navigate;10;2;system
