id;name;description;type;plugin
1;systemic;Bacon program;PEN;"VgDuA"
2;Money Market Account;Intelligent Frozen Keyboard;HEART_RATE_METER;""
3;Lead Rwanda Franc;Avon Fiji Dollar;HEART_RATE_METER;"nZGio"
4;client-server Drives;Unbranded Bedfordshire;HEART_RATE_METER;"5eB6O"
5;Refined Cotton Pizza;digital Avon Credit Card Account;PEN;"rNZp"
6;Terrace solid state Future;Specialist COM Ergonomic;HEART_RATE_METER;"hK"
7;HDD fault-tolerant;Technician Outdoors;PEN;"h"
8;SSL emulation calculating;web-enabled Fantastic Operations;HEART_RATE_METER;"WRAHv"
9;card;Tajikistan compressing;PEN;"sOi"
10;standardization Pataca Manager;Saint Helena Forward;HEART_RATE_METER;"dWg67"
