id;timestamp;x;y;type;tilt_x;tilt_y;twist;pressure;protocol_id
1;2020-02-23T03:53:31;64557;77569;DOWN;41797;43779;90680;65714;1
2;2020-02-22T22:17:28;49049;94394;MOVE;91786;41892;66718;65237;2
3;2020-02-23T08:31:14;90945;7174;DOWN;98009;14038;91318;62967;3
4;2020-02-23T07:08:55;84815;63164;UP;48270;45136;56049;25929;4
5;2020-02-23T06:12:08;98562;82107;UP;98120;18501;67630;71458;5
6;2020-02-23T17:38:13;82448;14744;UP;78577;63847;95140;37118;6
7;2020-02-23T15:47:41;40144;96615;DOWN;63368;74248;15356;68532;7
8;2020-02-22T20:12:58;13414;11287;MOVE;78209;2722;91837;99469;8
9;2020-02-22T19:53:38;66702;17529;MOVE;93272;31319;17486;38357;9
10;2020-02-22T20:53:41;15470;54913;MOVE;18469;70684;8917;73510;10
