id;name;description;width;height;margin_left;margin_right;margin_top;margin_bottom;url;created_by
1;heuristic platforms Identity;systems Berkshire Lead;66597;27628;64056;35051;37927;27661;http://arjun.net;system
2;deliver circuit Awesome Cotton Car;monitoring Riel;57719;20939;16202;97814;91942;93819;http://diego.biz;system
3;functionalities Borders Gorgeous;Burg deposit connect;36529;13236;97025;90181;84194;12802;http://agnes.info;system
4;Idaho salmon;FTP partnerships bandwidth;82017;69795;97594;52397;70048;74073;https://eudora.org;system
5;e-business Sudanese Pound;Rustic;3212;58944;82552;52927;7618;9599;http://ray.com;system
6;SMS;Rubber CSS panel;49127;53968;83503;92276;83017;3646;http://ryan.biz;system
7;Division calculate invoice;red Savings Account;79489;83785;27875;59740;29556;65132;https://wendy.com;system
8;Florida Communications Grocery;target system Digitized;26508;72639;92864;89635;46186;75427;https://kyla.biz;system
9;bandwidth Awesome Concrete Pants Functionality;hard drive;4603;4808;71496;70512;43571;82480;https://cassandre.com;system
10;Tugrik;Infrastructure networks;60584;41115;24855;20667;93342;12182;https://brannon.info;system
