id;user;project_id;permission
1;Savings Account;57457;Checking Account Guyana Dollar Pizza
2;Rand Loti Baby;24970;customer loyalty Baby
3;Cambridgeshire Florida;88102;Investor intranet
4;Somali Shilling Tasty Granite Chair;78546;interface core programming
5;Regional;10260;calculating incubate Forward
6;Bedfordshire card;2484;Kids Virgin Islands, U.S. program
7;copying Cambridgeshire;43660;Granite Refined Metal Shoes
8;mission-critical Netherlands Antilles;1942;Health open-source
9;Organized Crossroad flexibility;36095;Sausages Sleek Handcrafted Rubber Mouse
10;SQL Optional quantify;28511;Kwacha
